text,target
"про Ниссан чушь пишете, 330 000 пробега моему Кашкаю английской сборки на вариаторе, полет нормальный!",Neutral
"10 вопрос
>it costed me a pretty penny, то есть «вышло в копеечку»
тащемта там будет cost-cost-cost в разных временах
https://dictionary.cambridge.org/dictionary/english-russian/cost",Neutral
"Является ли длительная температура (37-37,5) неясного генеза противопоказанием к вакцине? На фоне температуры есть отклонения в оак и иммунограме, но официального диагноза нет.",Neutral
"Здравствуйте Екатерина! Мы с женой купили дом за1750000. Я не работаю официально,а жена официально,может ли она получить налоговый вычет и как правильно это сделать?",Neutral
Здравствуйте. Скажите пожалуйста если отец живёт далеко и не может приехать и дать отказ от детей сам. То он может оформить всё документы у нотариуса и отправить их мне?,Neutral
"В коммодити тоже можно инвестировать с помощью ETF, правда не знаю, доступны ли они у российских брокеров",Neutral
"У нас добываются нефть, газ, алмазы, но местное население теряет работу, живут в деревянных бараках",Negative
"Базары сожителей и партнеров. 
А если жена ребенка рожает и ее доход обнуляется на несколько лет и карьера идет прахом. Искать нового?
Пипец в головах.",Negative
"Студентами два-три раза в год ездили сдавать кровь на Беговую, правда деньги давали не всегда. Пару раз был паёк, водичка какая то витаминная, что-то ещё, не помню уже. А так и дело хорошее сделали, и копеечку получили.",Neutral
Что у вас слева от раковины? Стена? Вы шкаф и холодильник засунули ЗА стену в туалет?!,Negative
"Я тоже жила на лайте, когда первого ребенка в 24 родила.И рассуждала примерно как вы(автор). А потом был токсикоз, второй ребенок, и тут-то мой ""расслабон""закончился! Дети совершенно разные!",Neutral
Какие В2В услуги будут востребованы в ближайшем будущем? Какой бизнес для бизнеса вы бы запустили сейчас?,Neutral
"Хлеб по 15-20 копеек беляши по 6 копеек кино 30-50 копеек и т.д., и т.п......",Neutral
"Спасибо автору за статью! Прочитала от начала и до конца с улыбкой на лице) Сама выпускница данного колледжа (2017 год выпуска). От колледжа только приятные воспоминания остались, что аж вернулась в него, но теперь преподавать))",Positive
"вот тоже думаю взять, а то реально бОльшую часть времени таскаешь пустой рюкзак.
хотя в такую сумочку вряд ли влезут пара банок пива",Neutral
Все супер. Молодец. Но один вопрос. Сколько вы заработали чистыми на бирже? За полгода так понимаю?. А то продали за 7.5 а купили за 8.5 и плюс еще ремонт.... Несходится.,Neutral
"Думал поначалу, что всех забаню, ну вот, кровавые репрессии отменяются:( Надо, кстати, посмотреть молчание ягнят.

Способ бросить курить доставляет как в первый раз)",Negative
Группа картины по дружеским ценам не одобрила мне ни одну картину...............,Negative
"Очень классная статья, мне в сердце Тромсё запал, я бы там даже пожила.
А вы не хотели бы потом продолжить образование на phd?",Positive
"108к вышло.
Хорошо что у меня нет четырем которую надо тюнинговать",Neutral
"Хочешь конкурировать со всей страной идя в топовые места - конкурируй, что сказать.

И вышка для программиста в Москве - ну такое себе.",Neutral
"""В каком необычном месте вы бы хотели позаниматься фитнесом?""
В большом зале без людей и персонала)",Neutral
"История журналистики-мой первый ""автомат"" в институте. Я просто не смогла бы себя заставить учить этот массив информации, поэтому пришлось попотеть в первом семестре",Negative
"Я то думал после 40 людям уже лень что либо делать, т.к. они либо закрывают свои потребности, либо их и не имели и зарплата снижается, поэтому указал примерно 35, а тут вообще какая-то странная информация получается",Negative
"Тоже установила приложение для йоги. Даже занималась неделю, потом забросила. Надо возвращаться) Спасибо за напоминание и удачи!",Positive
"Привет,  вы большая умница! За 20 лет работы в корпорациях я имею меньше жизненного опыта чем вы после одного данного проекта. Надеюсь, что эти знания не пропадут даром и со временем вы сделаете уникальный проект который будет приятен и душе и карману.",Positive
"Выпил - веди себя прилично. учись коммуникации с разными людьми. Не спеши, больше вкладывай в свое  развитие, учи английский.",Neutral
"По поводу коробок для посылок автор не прав. Совсем не обязательно покупать их на почте. Я всегда беру подходящую по размеру коробку в ближайшем магазине, ни разу почта не отказывала в отправке. Главное, чтобы коробка была чистая - без надписей и рисунков .",Neutral
"«В Америке спальней считают комнату со встроенным шкафом. Если его нет, это уже den».

Поправлю - den буквально переводится как берлога и это спальня без окон, а не без встроенного шкафа. Понятно, что в такой спальне и шкафа не будет, но den - конкретно спальня без окон.",Neutral
"Как же вовремя я наткнулась на ваш пост) в детстве в кайф было шить на всяких куколок, сейчас хочу вспомнить былое и хоть как-то выбраться из депрессии. В распоряжении есть старая ножная машинка, наверное надо все-таки раскошелиться на ""нормальную"")",Positive
"Всегда завидовал людям, которые  абзац основной идеи (мысли) могут растянуть на многостраничный водянистый лонгрид!
Особенно когда в живом диалоге задаёшь короткий вопрос человеку и получаешь монолог на мин. 25!... Эх, скорей бы нас уже заменили чатботы на английском)",Neutral
"Автор, предлагаю вам вакансию менеджера по зп значительно лучше. Есть предложение и вашему партнёру. Производство в Барнауле набираем штат в связи с расширением.",Neutral
"Смотрю у тех, кто ""против"" и беременность, и роды прошли гладко, и дети родились здоровые, и с ГВ проблем не было. Но что, если бесплатных нормальных врачей и роддомов в округе нет, ГВ не заладилось? Ведение беременности + роды в Москве - это уже 200к.",Neutral
"Была в Венгрии, но еще не доехала до Будапешта, подскажите какая там погода в ноябре?",Neutral
"У меня 1 вопрос к автору: если вы понимаете что не бывает хорошей колбасы по 100 руб кг, то зачем вы её покупали? Вы собираетесть сэкономить на что-то там, и покупаете заведомо непригодный к употреблению продукт, который есть не будете и выбросите.
Логики ноль.",Negative
Свадьба моей мечты стоит 7 904 048. Для меня это адекватная цена.,Neutral
"Отличная статья, спасибо! Все, кто ниже пишут бред про раболепие, готовы теперь до конца жизни отдыхать на даче и в Анапе, чтоб АВВ и Эпл локти кусали, что они больше их смартфоны не покупают и сервисы не пользуют😅",Negative
"Собака на улице должна быть в наморднике, вне зависимости от породы. Это избавит и хозяина и окружающих от ряда проблем.",Neutral
Полностью поменяла бы жизнь на сказку в Швейцарии! И поверьте этих бы денег даже бы не хватило!!!!,Positive
"Купил ""Страдающее средневековье"", идея классная, оформление и персонажи - прикольные. Но игра оказалась не интересной, правила не совсем очевидные, много раз перечитывал, думая, что неправильно понял. Игра не держит и не захватывает",Neutral
Добрый день. Купила квартиру и открыла ИИС. Через три года вычет по квартире еще не будет выплачен. Как быть с вычетом по ИИС. Он пропадет? Спасибо,Neutral
"Как будто с ипотекой под 6% для семей с двумя детьми не так! Такая же ерунда с процентами, если вдруг государство прекратит субсидирование",Negative
"А чтобы поменять дверь нужно показывать документы, 6а собственность? Или ксиву гаишника?",Neutral
"1. Фотка не по теме.
2. Проект есть? Он согласован? 
3. Запрос в жилинспекцию сделан? Какой ответ?",Negative
"Мечтаю повторить ваш подвиг! Дело осложняется отсутствием такого золотого брата. Но в любом случае приобрету дачу. И именно ""бабушкин вариант"" - в них есть душа.",Neutral
"Человек на выходе из тяжелой депрессии живет лучше, чем я - в легкой депрессии.
Что-то явно мне нужно делать с моим состоянием.. ))))))",Neutral
"Посмотрел на днях «В духе Рождества» с Рейнольдсом, по Диккенсу. По мне так незаслуженно низкие оценки. Хороший, красивый мьюзикл.",Positive
"Я работаю дизайнером на удаленке, за 30 000 Р/мес. и из данного списка я трачу деньги лишь на еду. По сути для работы я не трачу ничего, подписки, обучение и подобные вещи оплачивает руководство.",Neutral
"И что это за термин ОЖИДАЕМАЯ продолжительность жизни , которая все время растет ? Это могут нарисовать по просьбе ВВП !!!  А заболевания органов пищеварения , ТК отменили все ГОСТы и питаться стали чем попало .",Neutral
"Доброго утра! Возможно изучение Бхагават Гиты (то же священное писание, как и Библия и Коран) сможет изменить понимание. Марина Таргакова очень правдивые вещи рассказывает про эту книгу, и в целом про психологию. Очень интересно. И кстати все на бесплатной основе, работают за пожертвования. Инфоцыганство так не работает.",Positive
"Вы молодец! Согласна с вами, язык надо поддерживать всю свою жизнь. У меня хобби английский язык. Половина моего чтения на английском языке ежедневно. Язык я начала учить под сорок лет, возраст здесь не помеха, есть  Cambridge certificat, были классные преподаватели, мне очень повезло!",Positive
"> Черновой ремонт оказался неплохим, его тоже не нужно было переделывать

Ну это читерство =) И электрику не делал. С самым дорогим повезло. Завидую я в общем",Negative
"Я последний день в отпуске и уже скучаю по нему. При одной мысли о работе такая тоска накатывает, хоть вой...",Negative
"Ух ты, автор я теперь ваш фанат))) как тут подписаться на следующую серию (ТЖ сделайте плиз кнопку).
Как будто сценарий к кино прочитала. Про девушку с сильным характером и необычным образом жизни",Positive
"Как же скучно.
Вот вам и доказательство, что с нормальным жоходом можно жить скучнее пенсионеров.
А почему у вашего парня внж по удалённой работе, раз его мать официально имеет внж в Италии? 
Молдаване и Албании официально перевозят своих взрослых совершеннолетних детей и престарелых родителей",Negative
"Удивляет позиция вашей мамы. Возможно, вы были влюблённой юной дурочкой, сколько вам было лет? Но она то взрослый человек, и пустить ситуацию на самотёк?",Negative
"Вернулись от туда 2 недели назад, тоже планировали маршрут сами, провели в стране 15 дней. Очень запал в душу ближний восток, планирую ещё поездки в регион.",Positive
"Когда перешла на удаленку и начала более-менее стабильно бегать,  перестала простывать вообще.",Positive
"Пифы - зло! Шорты - зло! Плечи - зло! Стратегии, анализы, прогнозы - сомнительно... Балом правит толпа, ну и новости(не всегда)...
Трейдер, инвестор, стаж - 4 года, образование - бухучёт и аудит",Negative
"Я просто выношу книги в подъезд к лифту, по-немногу.  Обычно все разбирают. Я и сама беру, когда кто-то выносит.  Жалею, что нет у нас практики ""гаражных распродаж"", как в Америке, я бы кучу вещей отдала бы за копейки, лишь бы они приносили пользу.",Neutral
"Спасибо за обзор!
Жаль не стали заморачиваться насчет NFC(показывать как работает).",Positive
"Не понимаю. Родина показывает, что у нас запрещена пропаганда нетрадиционных ценностей, но при этом скинхеды разгуливают по городу. Фу.",Negative
"Сдавала свою квартиру посуточно через Airbnb.com перед тем, как начать делать ремонт! Так как рядом с домом несколько больниц, то квартира вообще не простаивала. Для себя сделала вывод, что при вложении в ремонт и сдаче посуточно можно отбить две-три цены супротив сдачи помесячно!",Positive
"Как задекларировать продажу криптовалюты проданной за наличные или на p2p площадке (то есть когда нет никаких подтверждающих документов)? 

Какие будут отличия если криптовалюта была куплена или намайнена?",Neutral
"Интересно, модераторы есть в этой рубрике?
Как допускаются откровенно оскорбительные комментарии?
Добивающие человека, находящегося в шатком эмоциональном положении",Negative
В первую очередь убрать все углеводы после 15 часов! После этого времени углеводы превращаются в жир. Лечилась у диетолога. За 10 месяцев похудела на 35 кг на правильном питании.,Negative
"Сомневаюсь, что эти часы чего нибудь стоят. Вас надули, как последнюю лохушку. Понятно, что в полицию вы не пойдёте, а пойдёте так ни свидетелей, ни доказательств у вас нет.",Negative
"в очередной раз убедился что умение зарабатывать деньги не то же самое что и умение ими распоряжаться, к огромному сожалению. автору сочувствую",Negative
"Никто никому не должен, все верно..то что Вам мужчина не хамит - это может быть не от чувства долга, а потому что он не хочет Вам хамить. Ну и так далее.  Строить отношения на ""ты мне должен ""-ну такое себе",Neutral
"Из московских вузов удалить РУДН, добавить МИРЭА, тот факультет, который МИТХТ был",Neutral
"Анна, вы молодец! Отличный тандем у вас с мамой. И мама держит себя в тонусе и вам поддержка. Успехов на новом месте! Думаю, что с наработанным опытом у вас все получится достаточно быстро. Считаю, что это вполне приемлемая форма поддержки родителей. [url]http://saxophonistkyiv.com[/url]",Positive
Уже второй день читаю про стипендии московских вузах по  20.000. Причём которые слабо бьются с текстом и непонятно зачем вообще про это писать. Я так понимаю текст на правах рекламы?,Negative
"Спасибо за статью, интересно. С удовольствием бы так пожила: с одной стороны, до центра недалеко, с другой, есть свой садик, а это просто блаженство.",Positive
"За достопримечательностями надо было ехать в Иорданию, а за развлечениями - в Бахрейн.",Neutral
"Тоже сдавала HSK5, но только после одного года учёбы в Китае
Жаль что сейчас это уже считается не C1, а B1 (Intermediate) уровнем, т.к. добавили HSK7-9",Neutral
"Учитесь играть на укулеле, а там и до гитары недалеко, принцип тот же, только струн больше, перкуссию можно делать и пальцы тренировать, чтобы доставать соседние Лады.",Neutral
"Моя кошка, которая больше оценит коробку от когтеточки (как и любую другую): прикол
Но в интерьере смотрится замечательно, хочется приобрести!",Positive
Сегодня пробовала. Сразу же спалила сестра. Заставили это читать. Достаточно интересная статья. Впечатления не очень. Мне не понравилось,Negative
"Судя по размытости описания второй истории, там очень сильно врут. Либо в доходах врут, либо в тратах что-то странное до невозможности, потому что долг при таких доходах довольно мелкий.

Не люблю такое.",Negative
"К сожалению кнопки ""генератиная заливка"" у себя в фотошопе не наблюдаю(",Negative
"А ещё подумайте, что вы платите 22% в пенсионный фонд, а ваш начальник скорее всего нет. Потому что с определённого дохода взносы почему-то не платятся.",Negative
"Слушайте, а где найти такую работу? Хочу такую зарплату! )))
Готова писать круглосуточно )))",Neutral
"Если родитель один, на пенсии, , второй умер а ребёнок инвалид и учиться на очном в университете. Положены ли выплаты до 24 лет.",Neutral
"На первом свидании считаю. что каждый сам за себя.
Если отношения стабильные, то привилегия оплатить счёт у мужчины, иначе зачем он нужен. если он не в состоянии оплатить счёт...)))",Neutral
Аспект в котором любая начальная теория есть математическая модель окружающего мира существующая предположительно в параллельных мирах подтвержденного в 100 тыс. экспериментов.,Neutral
"""Я доверился «партнеру» по онлайн-казино, но так и не получил часть общего выигрыша"" - собственно статью можно и не читать с такими вводными)",Negative
"Читайте Ратникова, если хотите локальное очистное сооружение по уму. Остальное все фикция.",Neutral
"""Это не ваши деньги, у вас свои есть
Вы сами сознательно и бессознательно влияете на свои деньги. Ваш потенциал поистине высок — высвободите его с помощью вкусной еды и хорошего сна, а потом садитесь писать книгу о своей жизни.""

и что означает сей бред?",Neutral
"Статья в целом дилетантская. Почему даже расписать лень. Долго с телефона это. Лучше ЗоЗПП читайте. Особенно любителей обращаться в СЦ с заменой и возвратом товара, а также за устрашением недостатков касается. Чтобы потом не было мучительно больно.",Negative
"Свердловская область, Тугулымский район, ездили, было интересно, застали и пообщались с двумя бабушками, одно но, далеко не все хотят общения, у каждого на это свои взгляды",Neutral
"Я IT-рекрутер, и относительно недавно узнала, что во всем мире, кроме РФ, это чистой воды мужская профессия.",Neutral
"Реклама мощная, теперь осталось рассказать как ухаживать , мыть и производить чистку самой посудомоечной машины, сколько времени тратится и как это отражается на маникюре.",Neutral
Я уже потерял двадцать две тысячи с вашими опросами кто мне их вернёт,Negative
"Базовые праздники это фигня ещё. А вот когда у тебя в коллективе религиозные и пожилые люди тебя будут в рабочем чатике поздравлять со всеми религиозными праздниками, днём пионерии, 1 мая и прочая. Да не по одному разу, а от каждого. Замучаешься сохраненки вацап чистить потом.",Negative
"С такими легкими симптомами недомогания как: кашель, насморк можно делать прививку или лучше дождаться «идеального» самочувствия?",Neutral
"А еще лучше кольцо вагинальное
Таблетки лично я все время забывала принять
Больше нет болей, месячные не похожи на потоп и настроение более стабильное (прежде раз месяц приходило понимание, что все тлен и жизнь бесполезна, нужно просто лечь и плакать)",Positive
"Могли бы и авиакомпании поить пассажиров вкусным чаем, а не непонятными опилками из общего чайника",Negative
"Я как-то добровольно проходила проверку на полиграфе, из любопытства. Прикольный опыт.",Positive
"Работал - получал зп за счёт налогов. Вышел на пенсию - получает её за счёт налогов. Стабильно, однако.
Забавно читать о том, что мол МВД делают много полезного. Их настолько стало впоследнее время много, что на всех не хватает полезных дел.",Neutral
"Добрый день, до какого возраста ИП выдают гранты, я читал что до 25 лет?",Neutral
"Очень круто, что вы делаете это так долго и не бросаете!",Positive
"Не поняла про работу МАМЫ. Работа, конечно, тяжёлая, но 90 процентов женщин совмещают её с другой работой)",Neutral
"Здравствуйте! Для ИП на патенте  - как уменьшить сумму патента за счёт страховых взносов? Какой теперь порядок? Напишите, пожалуйста, пошаговый алгоритм.",Neutral
"У меня то же самое. Когда обсыпало волдырями впервые, они не проходили до осени. Избегаю солнца и наношу солнцезащитный крем.",Neutral
"Вот недавно услышала такое: синдром отложенной жизни. Это про меня и моих знакомых, все живём на съёмном.",Neutral
"Да блядь... Особенно рекомендации про спонтанные покупки, когда наперёд просчитываешь куда копейку потратить. На хуй катитесь с этим дерьмо-тестом.",Negative
"подскажите, пожалуйста, можно ли пополнять счет в Interactive Brokers  c дебетовой карты Bank Of America? если да, то как выглядит процесс?",Neutral
"А как быть, если нет возможности вернутся в тот магазин, где покупал?

Брал в ленте сыр достаточно дорогой. Он оказался испорченным. А я в городе был проездом и зашёл в другую ленту. Но в возврате отказали.",Negative
"Никак, все эти таблички вгоняют в уныние, ориентируюсь на траты в банковском приложении.",Negative
"Работодатель платит меньше, чем указано в договоре. Вроде праздничные дни из зарплаты не вычитаются. Хочу пожаловаться в трудовую. Может ли работодатель уволить за жалобу или просто так ""капризного"" работника? Были ли такие случаи?",Negative
"Белые и черные базовые футболки из Юникло, взяла с расчетом 2 штуки на год), но растянула на 2 года, до сих пор выглядят отлично)",Positive
"Вам удается увидеть собранную мебель по вашим эскизам? Как научились понимать мебельные размеры, нюансы по фурнитуре, габариты встраиваемой техники и отображать это на эскизе? 

Я смог рисовать только после практики - установок мебели.",Neutral
"Ветврач — это же не только оперирующий хирург? Это может быть терапевт первичного приема, ветдиетолог, дерматолог, рассматривали такие варианты?
Сочувствую вам и желаю не терять мотивацию и силы!",Positive
вам в 28 лет мама готовит? офигеть ))) удачи конечно. в смысле - удачи в  сепарации,Neutral
"Сергей, полтора года это вообще ниочем. Это только научился держать руки перед лицом. При всем уважении",Negative
"Я в Питер переехал с одной сумкой вещей и почти нулем денег.  Было трудно, но была цель. Прижился, обжился =)

И у вас все получится!",Positive
"Решаю эту проблему туалетной бумагой и хлоргексидином, можно еще влажные салфетки прихватить или бутылочку с водой.

Такая себе гигиеничность и экологичность. Расставить всё это в грязном туалете и потом выкинуть не 1 тампон, а кучу салфеток и тары.",Negative
"Молодец,  девушка!!! Рассказала все чётко и грамотно! А если кому то не нравится,  не надо писать в комментариях. Просто высказывает свой вкус и свою любовь к  одежде!!! Спасибо!!",Positive
"Хотим поехать на Эрджиес в сентябре, подняться на канатке и немного прогуляться. Подскажите, пожалуйста, какие виды открываются сверху?",Neutral
"У моей знакомой была такая же ситуация, и ей удалось выиграть и получить компенсацию. Так что может смысл и есть. Просто вам не повезло, может надо обратиться к юристу, адвокату?",Positive
"Важно официальное трудоустройство и высокая зарплата. В серую никогда работать не стану, ну если только какая-то жесть произойдет из ряда вон.",Neutral
"Роскошный рассказ! Спасибо за правду без прикрас и потрясающее чувство юмора! Наслаждаться жизнью, несмотря ни на что, вы точно умеете! Так что пожелаю здоровья малышу! И да, определенно продолжайте радовать читателей - слог у вас замечательный!",Positive
"Тут, как говорится, всё познается в сравнении. Когда приезжаю в Россию из Турции, Грузии и уж тем более из Юго-Восточной Азии, чувствую себя как в раю для пешеходов. А от уступающих дорогу водителей на пешеходных переходах хочется вообще прослезиться от счастья :)",Positive
"Создать приложку, которая рандомные тексты выводит и зарабатывать на наивности людей. Ну да, достижение конечно…",Negative
"25 лет назад был 2000год. 1999, если точно. Стоит только погуглить, какие игры вышли в эти годы, и сразу понятно, что это не ""монетки собирать"". 

Не, ну мб вы про телефон...",Neutral
"Серьезно?!
Просто интересно, а чем вам не угодил iPhone 15 Pro и почему не попал в ваш топ? 🤔",Neutral
"в основном вся посуда Röndell. сковородок уверенно хватает на 3 года. 
как-то давно купила дешевую сковородку - ее хватило меньше чем на месяц, больше стараюсь не экспериментировать и совсем дешевые не брать. также были oursson и swiss diamond, тоже хватило на три года.",Neutral
"круто! Вы молодец, что не отказываете себе в путешествии и не ждете 18ия дитячки) многие просто ставят крест на себе после рождения ребенка.",Positive
"Мне не дали, дом под условия подходил, кредитная история у меня хорошая. пришлось брать под 7.7% проценты в рф грабительские",Negative
"Эталонная реализация принципа: ""Когда человек с деньгами встречает человека с опытом, человек с опытом уходит с деньгами, а человек у которого были деньги уходит с опытом.""",Neutral
"А мы наоборот жили в Барселоне неделю, а потом на море неделю , в Тоссе де Мар- рекомендую. Ехали туда автобусом ,поскольку поезда идут только до Бланеса. Кстати,в Саграду не пошли.",Neutral
"А что случилось в 2022 году, что так сильно повлияло на ваш вес?",Neutral
Я туплю малость. Ее можно скачать и локально вести в простом Экселе?,Neutral
"про линейную регрессию
Я каждый раз плюсы минусы аккуратно проверяю в корнях квадратичного уравнения - просто слишком глубоко закопано)
Удачи!",Neutral
